Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector,NumFounders,total_investors
2019-01-04,Phable,2018,Bangalore,['Sumit Sinha'],"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000.0,Series A,2019,Healthcare,1,6
2019-01-09,Credr,2014,Mumbai,['Mittal'],"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,Series A,2019,Automotive,1,4
2019-01-18,Oyo,2013,Gurugram,['Ritesh Agarwal'],"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,Series A,2019,Hospitality,1,3
2019-01-25,Rivigo,2014,Bangalore,"['Deepak Garg', ' Gazal Kalra']","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",20000000.0,Series F,2019,Logistics,2,2
2019-01-26,Freightwalla,2017,Mumbai,"['Sanjay Bhatia', ' Bharat Tanvi', ' Punit Java']","Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A,2019,E-Commerce,3,3
2019-02-02,Licious,2015,Bangalore,"['Vivek Gupta', ' Abhay Hanjura']",Vertex Ventures,25000000.0,Series D,2019,Consumables,2,1
2019-02-03,Awign Enterprises,2016,Bangalore,"['Annanya Sarthak', ' Gurpreet Singh', ' Praveen Sah']","Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A,2019,Other,3,4
2019-02-03,Quantiphi,2015,Bangalore,['Renuka Ramnath'],Multiples Alternate Asset Management,20000000.0,Series A,2019,Technology,1,1
2019-02-08,KredX,2015,Bangalore,['Manish Kumar'],Tiger Global Management,26000000.0,Series B,2019,Technology,1,1
2019-02-08,JobSquare,2019,Ahmedabad,['Ishit Jethwa'],Titan Capital,140500.0,Series A,2019,Technology,1,1
2019-02-18,Fireflies .ai,2015,Bangalore,['Sam Udotong'],Canaan Partners,5000000.0,Series A,2019,Technology,1,1
2019-02-27,Origo,2010,Gurugram,"['Mayank Dhanuka', ' Sunoor Kaul']","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,Series A,2019,Technology,2,3
2019-03-01,Zetwerk,2018,Bangalore,"['Amit Acharya', ' Srinath Ramakkrushnan']","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B,2019,Manufacture,2,3
2019-03-01,MyGameMate,2015,Bangalore,['Parshavv Jain& Raju Kushwaha'],"Jindagi Live Angels,",100000.0,Series A,2019,Gaming,1,2
